Phase,Number,Name,Program,Master,Active,Project Manager,Portfolio Category,Latitude,Longitude,Council District,Location,Gate 1,Gate 2,Gate 3,Gate 1 (Performance/Reference),Gate 2 (Performance/Reference),Gate 3 (Performance/Reference)
PLANNING,1026798,RSD EMRGNT NEED-EXISTING PRJ,,No,Yes,"Mitchell, Patricia",Quick Response,,,"1
2
3
4
5
6
7
8
9",,,,,,,
PLANNING,1026799,RSD CIP GRANT CONTIGENCY,,No,Yes,"Mitchell, Patricia",Contingencies,,,,,,,,,,
OPERATIONS,1026800,RSD CAP PROJ O S FUND 3860,,No,Yes,"Mitchell, Patricia",Administrative,,,,,,,,,,
PREDESIGN,1027163,RSD QUICK RESPONSE,RSD QUICK RESPONSE,Yes,Yes,"Mitchell, Patricia",Contingencies,,,,,,,,,,
IMPLEMENT,1111819,RSD C W DRAINAGE PRESERVATION,RSD C W DRAINAGE PRESERVATION,Yes,Yes,"Shular, Ryan",Drainage,,,,Various locations countywide,,,,,,
OPERATIONS,1114792,RSD ROADS-COUNTY ROAD CONST,,No,Yes,"Mitchell, Patricia",Administrative,,,,,,,,,,
CLOSEOUT,1116885,RSD WOODINVILLE DUVALL ITS,,No,Yes,"McManus, Aileen",Traffic Control,,,3,NE Woodinville-Duvall Road,,,,,,
CLOSEOUT,1124986,RSD CW HRRRP,RSD CW HRRRP,Yes,Yes,,Roadway,,,,,,,,,,
IMPLEMENT,1125758,RSD W SNOQ VLY RD/NE124-W/D RD,,No,Yes,"Shular, Ryan",Roadway,47.7165,-122.008313,3,13523 W. Snoqualimie Valley Road NE,43412.33333,43599.29167,,,,
DESIGN,1127271,RSD PRESTON MAINT FACILITY,,No,Yes,"Sugui, Rey",Maintenance Facilities,,,"1
2
3
4
5
6
7
8
9",29111 SE Preston Way,,,44926.33333,,,43861.33333
IMPLEMENT,1127273,RSD FAILED ENV & HVAC REHAB,,No,Yes,"Knauer, Jennifer",Maintenance Facilities,,,"1
2
3
4
5
6
7
8
9","155 Monroe Ave NE, Renton, WA",42677.29167,42745.33333,42845.29167,42677.29167,42745.33333,42845.29167
DESIGN,1127589,RSD 165 ST FLD RSK RDUCTN,RSD C W DRAINAGE PRESERVATION,No,Yes,"Karinen, Martin",Drainage,47.74032,-122.097347,3,"King County, east of Woodinville, NE 165th St between 179th PL NE and 183rd PL NE, NE 165th St Road Log #66510 MP 2.275 to 2.468",42432.33333,42587.29167,44620.33333,42432.33333,42587.29167,42587.29167
CLOSEOUT,1127590,RSD 212 AV SE FLD RSK RDUCTN,RSD C W DRAINAGE PRESERVATION,No,Yes,"Bleasdale, Don",Drainage,,,7,"King County, west of Enumclaw",42431.33333,42373.33333,,,,
IMPLEMENT,1129582,RSD EMERGENT NEED 3855,,No,Yes,"Foote, Mark",Administrative,,,"1
2
3
4
5
6
7
8
9",Administrative,,,,,,
IMPLEMENT,1129583,RSD GRANT CONTINGENCY 3855,,No,Yes,"Foote, Mark",Administrative,,,"1
2
3
4
5
6
7
8
9",Administrative,,,,,,
IMPLEMENT,1129584,RSD CWP QUICK RESPONSE,RSD CWP QUICK RESPONSE,Yes,Yes,"Mitchell, Patricia",Roadside,,,"1
2
3
4
5
6
7
8
9",Unincorporated King County,,,,,,
IMPLEMENT,1129585,RSD CWP ROADWAY PRESERVATION,RSD CWP ROADWAY PRESERVATION,Yes,Yes,"Moore, Paul",Roadway,,,"1
2
3
4
5
6
7
8
9",Unincorporated King County,,,,,,
IMPLEMENT,1129586,RSD CWP DRAINAGE PRESERVATION,RSD CWP DRAINAGE PRESERVATION,Yes,Yes,"Shular, Ryan",Drainage,,,"1
2
3
4
5
6
7
8
9",Unincorporated King County,,,43473.33333,,,43473.33333
PLANNING,1129587,RSD CWP GUARDRAIL PRESERVATION,RSD CWP GUARDRAIL PRESERVATION,Yes,Yes,"Mott, Linda",Roadside,,,"1
2
3
4
5
6
7
8
9","King County, countywide",42949.29167,42949.29167,,42949.29167,42949.29167,
IMPLEMENT,1129588,RSD CWP BRIDGE PRIORITY MAINT,RSD CWP BRIDGE PRIORITY MAINT,Yes,Yes,"Roark, Ben",Bridges & Structures,,,"1
2
3
4
5
6
7
8
9",Various Locations throughout King County,,,,,,43991.29167
IMPLEMENT,1129590,RSD CWP HIGH COLLISION SAFETY,RSD CWP HIGH COLLISION SAFETY,Yes,Yes,"Mott, Linda",Traffic Control,,,"1
2
3
4
5
6
7
8
9",Unincorporated King County,,,,,,
IMPLEMENT,1129591,RSD CWP SCHOOL ZONE SAFETY,RSD CWP SCHOOL ZONE SAFETY,Yes,Yes,"Hafele, Brendan",Traffic Control,,,"1
2
3
4
5
6
7
8
9",School zones in unincorporated KC,,,,,,
IMPLEMENT,1129592,RSD EMERGENT NEED 3865,,No,Yes,"Foote, Mark",Administrative,,,"1
2
3
4
5
6
7
8
9",Administrative,,,,,,
