Phase,Number,Name,Program,Master,Active,Project Manager,Portfolio Category,Gate 1,Gate 2,Gate 3,30% Design,60% Design,90% Design,NTP Issued/Start Con,Gate 1 (Performance/Reference),Gate 2 (Performance/Reference),Gate 3 (Performance/Reference),30% Design (Performance/Reference),60% Design (Performance/Reference),90% Design (Performance/Reference),NTP Issued/Start Con (Performance/Reference),Capital/Operating
PLANNING,1026798,RSD EMRGNT NEED-EXISTING PRJ,,No,Yes,"Mitchell, Patricia",Quick Response,,,,,,,,,,,,,,,Capital Project
PLANNING,1026799,RSD CIP GRANT CONTIGENCY,,No,Yes,"Mitchell, Patricia",Contingencies,,,,,,,,,,,,,,,Capital Project
OPERATIONS,1026800,RSD CAP PROJ O S FUND 3860,,No,Yes,"Mitchell, Patricia",Administrative,,,,,,,,,,,,,,,Capital Project
PREDESIGN,1027163,RSD QUICK RESPONSE,RSD QUICK RESPONSE,Yes,Yes,"Mitchell, Patricia",Contingencies,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1111819,RSD C W DRAINAGE PRESERVATION,RSD C W DRAINAGE PRESERVATION,Yes,Yes,"Shular, Ryan",Drainage,,,,,,,,,,,,,,,Capital Project
OPERATIONS,1114792,RSD ROADS-COUNTY ROAD CONST,,No,Yes,"Mitchell, Patricia",Administrative,,,,,,,,,,,,,,,Capital Project
CLOSEOUT,1116885,RSD WOODINVILLE DUVALL ITS,,No,Yes,"McManus, Aileen",Traffic Control,,,,,,,,,,,,,,,Capital Project
CLOSEOUT,1124986,RSD CW HRRRP,RSD CW HRRRP,Yes,Yes,,Roadway,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1125758,RSD W SNOQ VLY RD/NE124-W/D RD,,No,Yes,"Shular, Ryan",Roadway,11/8/2018,5/14/2019,,1/18/2019,3/1/2019,3/25/2019,9/1/2020,,,,,,,,Capital Project
DESIGN,1127271,RSD PRESTON MAINT FACILITY,,No,Yes,"Sugui, Rey",Maintenance Facilities,,,12/31/2022,12/31/2022,,,,,,1/31/2020,1/31/2020,,,,Capital Project
IMPLEMENT,1127273,RSD FAILED ENV & HVAC REHAB,,No,Yes,"Knauer, Jennifer",Maintenance Facilities,11/3/2016,1/10/2017,4/20/2017,3/31/2017,9/16/2017,8/22/2018,2/16/2020,11/3/2016,1/10/2017,4/20/2017,3/31/2017,9/16/2017,8/22/2018,2/16/2020,Capital Project
DESIGN,1127589,RSD 165 ST FLD RSK RDUCTN,RSD C W DRAINAGE PRESERVATION,No,Yes,"Karinen, Martin",Drainage,3/3/2016,8/5/2016,2/28/2022,8/5/2016,10/27/2016,4/14/2017,,3/3/2016,8/5/2016,8/5/2016,8/5/2016,10/27/2016,4/14/2017,,Capital Project
CLOSEOUT,1127590,RSD 212 AV SE FLD RSK RDUCTN,RSD C W DRAINAGE PRESERVATION,No,Yes,"Bleasdale, Don",Drainage,3/2/2016,1/4/2016,,1/4/2016,,,,,,,,,,,Capital Project
IMPLEMENT,1129582,RSD EMERGENT NEED 3855,,No,Yes,"Foote, Mark",Administrative,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129583,RSD GRANT CONTINGENCY 3855,,No,Yes,"Foote, Mark",Administrative,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129584,RSD CWP QUICK RESPONSE,RSD CWP QUICK RESPONSE,Yes,Yes,"Mitchell, Patricia",Roadside,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129585,RSD CWP ROADWAY PRESERVATION,RSD CWP ROADWAY PRESERVATION,Yes,Yes,"Moore, Paul",Roadway,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129586,RSD CWP DRAINAGE PRESERVATION,RSD CWP DRAINAGE PRESERVATION,Yes,Yes,"Shular, Ryan",Drainage,,,1/8/2019,1/8/2019,,,,,,1/8/2019,1/8/2019,,,,Capital Project
PLANNING,1129587,RSD CWP GUARDRAIL PRESERVATION,RSD CWP GUARDRAIL PRESERVATION,Yes,Yes,"Mott, Linda",Roadside,8/2/2017,8/2/2017,,,,,,8/2/2017,8/2/2017,,,,,,Capital Project
IMPLEMENT,1129588,RSD CWP BRIDGE PRIORITY MAINT,RSD CWP BRIDGE PRIORITY MAINT,Yes,Yes,"Roark, Ben",Bridges & Structures,,,,,,,,,,6/9/2020,7/7/2020,,,,Capital Project
IMPLEMENT,1129590,RSD CWP HIGH COLLISION SAFETY,RSD CWP HIGH COLLISION SAFETY,Yes,Yes,"Mott, Linda",Traffic Control,,,,11/15/2018,,,,,,,11/15/2018,,,,Capital Project
IMPLEMENT,1129591,RSD CWP SCHOOL ZONE SAFETY,RSD CWP SCHOOL ZONE SAFETY,Yes,Yes,"Hafele, Brendan",Traffic Control,,,,3/1/2018,,,,,,,3/1/2018,,,,Capital Project
IMPLEMENT,1129592,RSD EMERGENT NEED 3865,,No,Yes,"Foote, Mark",Administrative,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129593,RSD GRANT CONTINGENCY 3865,,No,Yes,"Foote, Mark",Administrative,,,,,,,,,,,,,,,Capital Project
PLANNING,1129594,RSD CWP GUARDRAIL CONSTRUCTION,RSD CWP GUARDRAIL CONSTRUCTION,Yes,Yes,"Mott, Linda",Roadside,1/30/2018,5/1/2017,6/30/2017,6/30/2017,,,,1/30/2018,5/1/2017,6/30/2017,6/30/2017,,,,Capital Project
DESIGN,1129595,RSD OLD CASCADE/MILLER BR WEST,,No,Yes,"Lyou, John",Bridges & Structures,4/24/2017,8/30/2017,12/19/2017,10/30/2017,3/30/2018,12/16/2020,7/11/2022,4/24/2017,8/30/2017,12/19/2017,10/30/2017,3/30/2018,12/16/2020,6/1/2022,Capital Project
DESIGN,1129596,RSD OLD CASCADE/MILLER BR EAST,,No,Yes,"Lyou, John",Bridges & Structures,4/24/2017,8/30/2017,12/21/2017,10/30/2017,3/30/2018,12/16/2020,7/11/2022,4/24/2017,8/30/2017,12/21/2017,10/30/2017,3/30/2018,12/16/2020,6/1/2022,Capital Project
PREDESIGN,1129598,RSD ISS HBRT RD@MAY VLLY IMPRV,,No,Yes,"Wang, Jun",Roadway,2/19/2019,4/30/2022,1/30/2023,10/23/2022,11/30/2022,6/6/2023,6/19/2024,2/19/2019,12/31/2020,6/30/2021,2/23/2021,7/22/2021,1/6/2022,6/19/2023,Capital Project
DESIGN,1129599,RSD RENTON AVE PH III SIDEWALK,,No,Yes,"Linders, Jon",Roadside,5/10/2018,2/15/2019,1/29/2019,11/15/2018,3/5/2019,5/23/2019,6/14/2022,,,1/29/2019,11/15/2018,3/5/2019,5/23/2019,6/14/2022,Capital Project
IMPLEMENT,1129714,RSD NE STILLWATER HILL RD,RSD CWP ROADWAY PRESERVATION,No,Yes,"Linders, Jon",Roadway,2/14/2019,3/4/2019,5/30/2019,5/30/2019,8/15/2019,10/10/2019,7/19/2021,2/14/2019,3/4/2019,5/30/2019,5/30/2019,8/15/2019,10/10/2019,7/19/2021,Capital Project
IMPLEMENT,1129716,RSD DIVISION 1 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129717,RSD DIVISION 2 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129718,RSD DIVISION 3 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129720,RSD DIVISION 4 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129721,RSD DIVISION 5 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129722,RSD DIVISION 6 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129723,RSD DIVISION 1 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129724,RSD DIVISION 2 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129725,RSD DIVISION 3 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129726,RSD DIVISION 4 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129727,RSD DIVISION 5 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129728,RSD DIVISION 6 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1129841,RSD CIP OVERSIGHT 3855,,No,Yes,"Foote, Mark",Administrative,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1130303,RSD CIP OVERSIGHT 3865,,No,Yes,"Foote, Mark",Administrative,,,,,,,,,,,,,,,Capital Project
PLANNING,1130705,RSD FC SNQ VLY MJR FL MIT STDY,RSD CWP FLOOD CONTROL DISTRICT,No,Yes,"Truong, Trinh",Drainage,4/22/2021,4/1/2022,7/30/2022,7/1/2022,,,,4/22/2021,4/1/2022,7/30/2022,7/1/2022,,,,Capital Project
PLANNING,1130706,RSD FC NE8ST@ALLEN LAKE OUTLET,RSD CWP FLOOD CONTROL DISTRICT,No,Yes,"Lyou, John",Drainage,12/19/2020,2/1/2022,4/29/2022,3/25/2022,,,,12/19/2020,2/1/2022,4/29/2022,3/25/2022,,,,Capital Project
IMPLEMENT,1130707,RSD FC 162 AVE SE @ SE 166 CT,RSD CWP FLOOD CONTROL DISTRICT,No,Yes,"Lyou, John",Drainage,4/14/2017,12/15/2017,2/26/2018,2/12/2018,1/30/2019,4/7/2020,8/19/2020,4/14/2017,12/15/2017,2/26/2018,2/12/2018,1/30/2019,4/7/2020,8/19/2020,Capital Project
CLOSEOUT,1130708,RSD FC DAVID POWELL RD RPR,RSD CWP FLOOD CONTROL DISTRICT,No,Yes,"Lyou, John",Drainage,4/3/2017,6/23/2017,7/4/2018,7/24/2017,10/25/2017,4/24/2018,7/3/2019,4/3/2017,6/23/2017,7/4/2018,7/24/2017,10/25/2017,4/24/2018,7/3/2019,Capital Project
DESIGN,1130710,RSD FC 380 PL @SR-164 CDR,RSD CWP FLOOD CONTROL DISTRICT,No,Yes,"Lyou, John",Drainage,3/29/2018,1/24/2020,9/8/2020,7/16/2020,2/24/2021,2/18/2022,6/30/2022,3/29/2018,1/24/2020,9/8/2020,7/16/2020,2/24/2021,10/22/2021,6/1/2022,Capital Project
CLOSEOUT,1130962,RSD BLK DMND-RVNSDL RD SLD RPR,RSD QUICK RESPONSE,No,Yes,"Shular, Ryan",Contingencies,,,,,,,,,,,,,,,Capital Project
