Phase,Number,Name,Program,Project Manager,Portfolio Category,Gate 1,Gate 2,Gate 3,30% Design,60% Design,90% Design,NTP Issued/Start Con,Project Substantial Completion,Gate 1 (Performance/Reference),Gate 2 (Performance/Reference),Gate 3 (Performance/Reference),30% Design (Performance/Reference),60% Design (Performance/Reference),90% Design (Performance/Reference),NTP Issued/Start Con (Performance/Reference),Project Substantial Completion (Performance/Reference),Schedule Variance
PLANNING,1026798,RSD EMRGNT NEED-EXISTING PRJ,,"Mitchell, Patricia",Quick Response,,,,,,,,12/14/2024,,,,,,,,,
PLANNING,1026799,RSD CIP GRANT CONTIGENCY,,"Mitchell, Patricia",Contingencies,,,,,,,,,,,,,,,,,
OPERATIONS,1026800,RSD CAP PROJ O S FUND 3860,,"Mitchell, Patricia",Administrative,,,,,,,,,,,,,,,,,
PREDESIGN,1027163,RSD QUICK RESPONSE,RSD QUICK RESPONSE,"Mitchell, Patricia",Contingencies,,,,,,,,,,,,,,,,,
IMPLEMENT,1111819,RSD C W DRAINAGE PRESERVATION,RSD C W DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,,,,,,,,,,,,,,,,,
OPERATIONS,1114792,RSD ROADS-COUNTY ROAD CONST,,"Mitchell, Patricia",Administrative,,,,,,,,,,,,,,,,,
CLOSEOUT,1116885,RSD WOODINVILLE DUVALL ITS,,"McManus, Aileen",Traffic Control,,,,,,,,5/4/2017,,,,,,,,,
CLOSEOUT,1124986,RSD CW HRRRP,RSD CW HRRRP,,Roadway,,,,,,,,,,,,,,,,,
IMPLEMENT,1125758,RSD W SNOQ VLY RD/NE124-W/D RD,,"Shular, Ryan",Roadway,11/8/2018,5/14/2019,,1/18/2019,3/1/2019,3/25/2019,9/1/2020,10/1/2020,,,,,,,,,
DESIGN,1127271,RSD PRESTON MAINT FACILITY,,"Sugui, Rey",Maintenance Facilities,,,12/31/2022,12/31/2022,,,,,,,1/31/2020,1/31/2020,,,,,
IMPLEMENT,1127273,RSD FAILED ENV & HVAC REHAB,,"Knauer, Jennifer",Maintenance Facilities,11/3/2016,1/10/2017,4/20/2017,3/31/2017,9/16/2017,8/22/2018,2/16/2020,12/30/2022,11/3/2016,1/10/2017,4/20/2017,3/31/2017,9/16/2017,8/22/2018,2/16/2020,12/31/2021,0.00%
DESIGN,1127589,RSD 165 ST FLD RSK RDUCTN,RSD C W DRAINAGE PRESERVATION,"Karinen, Martin",Drainage,3/3/2016,8/5/2016,2/28/2022,8/5/2016,10/27/2016,4/14/2017,,10/15/2024,3/3/2016,8/5/2016,8/5/2016,8/5/2016,10/27/2016,4/14/2017,,10/3/2021,
CLOSEOUT,1127590,RSD 212 AV SE FLD RSK RDUCTN,RSD C W DRAINAGE PRESERVATION,"Bleasdale, Don",Drainage,3/2/2016,1/4/2016,,1/4/2016,,,,11/15/2018,,,,,,,,,
IMPLEMENT,1129582,RSD EMERGENT NEED 3855,,"Foote, Mark",Administrative,,,,,,,,,,,,,,,,,
IMPLEMENT,1129583,RSD GRANT CONTINGENCY 3855,,"Foote, Mark",Administrative,,,,,,,,12/31/2020,,,,,,,,,
IMPLEMENT,1129584,RSD CWP QUICK RESPONSE,RSD CWP QUICK RESPONSE,"Mitchell, Patricia",Roadside,,,,,,,,12/31/2020,,,,,,,,12/31/2020,
IMPLEMENT,1129585,RSD CWP ROADWAY PRESERVATION,RSD CWP ROADWAY PRESERVATION,"Moore, Paul",Roadway,,,,,,,,,,,,,,,,,
IMPLEMENT,1129586,RSD CWP DRAINAGE PRESERVATION,RSD CWP DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,,,1/8/2019,1/8/2019,,,,12/31/2018,,,1/8/2019,1/8/2019,,,,12/31/2018,
PLANNING,1129587,RSD CWP GUARDRAIL PRESERVATION,RSD CWP GUARDRAIL PRESERVATION,"Mott, Linda",Roadside,8/2/2017,8/2/2017,,,,,,,8/2/2017,8/2/2017,,,,,,,
IMPLEMENT,1129588,RSD CWP BRIDGE PRIORITY MAINT,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,,,,,,,,12/31/2020,,,6/9/2020,7/7/2020,,,,12/31/2020,
IMPLEMENT,1129590,RSD CWP HIGH COLLISION SAFETY,RSD CWP HIGH COLLISION SAFETY,"Mott, Linda",Traffic Control,,,,11/15/2018,,,,,,,,11/15/2018,,,,,
IMPLEMENT,1129591,RSD CWP SCHOOL ZONE SAFETY,RSD CWP SCHOOL ZONE SAFETY,"Hafele, Brendan",Traffic Control,,,,3/1/2018,,,,12/31/2020,,,,3/1/2018,,,,12/31/2020,
IMPLEMENT,1129592,RSD EMERGENT NEED 3865,,"Foote, Mark",Administrative,,,,,,,,,,,,,,,,,
IMPLEMENT,1129593,RSD GRANT CONTINGENCY 3865,,"Foote, Mark",Administrative,,,,,,,,12/31/2020,,,,,,,,,
PLANNING,1129594,RSD CWP GUARDRAIL CONSTRUCTION,RSD CWP GUARDRAIL CONSTRUCTION,"Mott, Linda",Roadside,1/30/2018,5/1/2017,6/30/2017,6/30/2017,,,,,1/30/2018,5/1/2017,6/30/2017,6/30/2017,,,,,
DESIGN,1129595,RSD OLD CASCADE/MILLER BR WEST,,"Lyou, John",Bridges & Structures,4/24/2017,8/30/2017,12/19/2017,10/30/2017,3/30/2018,12/16/2020,7/11/2022,10/14/2022,4/24/2017,8/30/2017,12/19/2017,10/30/2017,3/30/2018,12/16/2020,6/1/2022,10/14/2022,135.29%
DESIGN,1129596,RSD OLD CASCADE/MILLER BR EAST,,"Lyou, John",Bridges & Structures,4/24/2017,8/30/2017,12/21/2017,10/30/2017,3/30/2018,12/16/2020,7/11/2022,10/14/2022,4/24/2017,8/30/2017,12/21/2017,10/30/2017,3/30/2018,12/16/2020,6/1/2022,10/14/2022,135.03%
PREDESIGN,1129598,RSD ISS HBRT RD@MAY VLLY IMPRV,,"Wang, Jun",Roadway,2/19/2019,4/30/2022,1/30/2023,10/23/2022,11/30/2022,6/6/2023,6/19/2024,9/11/2024,2/19/2019,12/31/2020,6/30/2021,2/23/2021,7/22/2021,1/6/2022,6/19/2023,9/11/2023,
